"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3180000","3180000-114-2014-00001","2014-01-13","","01","영업/정상","01","영업","","","","","8419800","1240.00","150-854","서울특별시 영등포구 신길동 861","서울특별시 영등포구 여의대방로 203 (신길동)","07360","영등포농협 하나로마트(여의대방로점)","2023-03-30 15:40:12","U","2022-12-04 00:01:00.0","기타식품판매업","193034.345962851","444796.372057832","","","","","","","","","","","","","","","","","","",""
"3120000","3120000-114-2002-00003","2000-10-02","","01","영업/정상","01","영업","","","","","02 3953676","1969.68","120-857","서울특별시 서대문구 홍제동 294-46 유진상가, 유진아파트,공유캠퍼스","서울특별시 서대문구 통일로 484, 유진상가, 유진아파트,공유캠퍼스 1층 (홍제동)","03628","롯데슈퍼 유진점","2023-03-24 15:48:52","U","2022-12-02 22:06:00.0","기타식품판매업","194850.361025035","454344.432517428","","","","","","","","","","","","","","","","","","",""
"3050000","3050000-114-2013-00001","2013-04-29","","01","영업/정상","01","영업","","","","","02  22442800","1315.35","130-836","서울특별시 동대문구 장안동 111-1 지하1층~지상1층","서울특별시 동대문구 한천로 193, 지하1~지상1층 (장안동)","02534","동서울농업협동조합 하나로마트장안점","2023-03-30 16:12:51","U","2022-12-04 00:01:00.0","기타식품판매업","205921.350835159","452880.100758472","","","","","","","","","","","","","","","","","","",""
"3180000","3180000-114-2001-00914","2001-10-08","","03","폐업","02","폐업","2023-03-02","","","","02 8454455","391.65","150-070","서울특별시 영등포구 대림동 1058-5","서울특별시 영등포구 디지털로37길 29 (대림동)","07420","기흥할인마트","2023-03-02 20:16:23","U","2022-12-03 00:04:00.0","기타식품판매업","190893.810125934","443236.05842825","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-114-2015-00001","2015-06-25","","03","폐업","02","폐업","2023-03-17","","","","02  22963651","363.69","134-855","서울특별시 강동구 암사동 447-12 1층","서울특별시 강동구 고덕로 99, 1층 (암사동)","05237","(주)이마트에브리데이 암사동점","2023-03-17 15:42:14","U","2022-12-02 23:09:00.0","기타식품판매업","211970.119823136","450308.559655461","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-114-2004-00001","2004-01-19","","01","영업/정상","01","영업","","","","","02 7067272","1225.50","121-130","서울특별시 마포구 구수동 60 외 3필지","서울특별시 마포구 토정로 193 (구수동, 외 3필지)","04087","롯데슈퍼 마포점","2023-03-20 14:12:29","U","2022-12-02 22:02:00.0","기타식품판매업","193965.279281329","449303.488960068","","","","","","","","","","","","","","","","","","",""
"3140000","3140000-114-1996-00412","1996-07-03","","01","영업/정상","01","영업","","","","","0226470824","396.00","158-875","서울특별시 양천구 목동 903 (목동아파트 3단지 관리동상가) 105호","서울특별시 양천구 목동서로 100, 105호 (목동, 목동아파트 3단지 관리동상가)","07982","씨에스유통(주)롯데슈퍼 목동점","2023-03-20 16:40:30","U","2022-12-02 22:02:00.0","기타식품판매업","188700.851169641","448020.090999138","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-114-2017-00002","2017-04-06","","03","폐업","02","폐업","2023-03-22","","","","","407.63","157-909","서울특별시 강서구 화곡동 900-1 해태아파트","서울특별시 강서구 강서로7길 28, 110-113호 (화곡동, 해태아파트)","07777","농심가새롬유통(주)","2023-03-22 16:01:42","U","2022-12-02 22:04:00.0","기타식품판매업","186332.679945287","447538.027901623","","","","","","","","","","","","","","","","","","",""
"3120000","3120000-114-2010-00002","2010-03-12","","01","영업/정상","01","영업","","","","","02  739 6780","1293.97","120-090","서울특별시 서대문구 홍제동 469 인왕산 한신휴플러스 (지하4층 B426,427)","서울특별시 서대문구 통일로 397 (홍제동,인왕산 한신휴플러스 (지하4층 B426,427))","03730","씨에스유통(주)롯데슈퍼홍제2점","2023-03-22 14:31:56","U","2022-12-02 22:04:00.0","기타식품판매업","195281.395461663","453657.534811024","","","","","","","","","","","","","","","","","","",""
"3110000","3110000-114-2011-00001","2011-03-21","","01","영업/정상","01","영업","","","","","02 3868060","882.00","122-200","서울특별시 은평구 진관동 90-1","서울특별시 은평구 진관2로 117 (진관동)","03305","롯데슈퍼 은평점","2023-03-27 11:46:32","U","2022-12-02 22:09:00.0","기타식품판매업","192752.342434808","459116.166371111","","","","","","","","","","","","","","","","","","",""
"3000000","3000000-114-2000-00230","20000407","","01","영업/정상","01","영업","","","","","02 7392360","","110080","서울특별시 종로구 무악동 82 무악현대아파트상가 지하1층 (지하101호) ","서울특별시 종로구 통일로 246-20, 지하1층 (무악동, 무악현대아파트상가)","03025","현대후레쉬마트","2015-06-19 16:49:31","I","2018-08-31 23:59:59.0","기타식품판매업","196467.975088253    ","452566.134030104    ","기타식품판매업","0","0","아파트지역","자율","","","","","","","","","","N","0","","",""
"3070000","3070000-114-2011-00001","2011-01-31","","03","폐업","02","폐업","2023-03-30","","","","02 9195445","721.62","136-110","서울특별시 성북구 길음동 1286-10 삼성래미안연도형 상가 지하4,5,6,7,11,12,14,15호","서울특별시 성북구 길음로7길 6 (길음동,삼성래미안연도형 상가 지하4,5,6,7,11,12,14,15호)","02721","삼보홈마트","2023-03-30 14:34:55","U","2022-12-04 00:01:00.0","기타식품판매업","201912.435615622","455775.861032353","","","","","","","","","","","","","","","","","","",""
"3060000","3060000-114-2010-00001","2010-02-02","","01","영업/정상","01","영업","","","","","02  493 3080","1547.82","131-866","서울특별시 중랑구 신내동 562 1층, 2층","서울특별시 중랑구 신내로 74 (신내동,1층, 2층)","02067","동서울농업협동조합 하나로마트 신내점","2023-03-30 16:23:58","U","2022-12-04 00:01:00.0","기타식품판매업","208380.034120278","455961.728036456","","","","","","","","","","","","","","","","","","",""
"3140000","3140000-114-2002-00006","2002-08-29","","01","영업/정상","01","영업","","","","","0221632233","1650.00","158-050","서울특별시 양천구 목동 916 현대백화점 지하2층","서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대백화점목동점)","07998","한무쇼핑(주)목동점 식품","2023-03-29 10:19:59","U","2022-12-04 00:01:00.0","기타식품판매업","188884.075622342","447186.888604306","","","","","","","","","","","","","","","","","","",""
"3210000","3210000-114-1999-01753","1999-12-30","","01","영업/정상","01","영업","","","","","0234981140","11273.59","137-893","서울특별시 서초구 양재동 230","서울특별시 서초구 청계산로 10 (양재동)","06797","(주)농협유통 양재하나로클럽","2023-03-30 14:51:34","U","2022-12-04 00:01:00.0","기타식품판매업","203811.14583381","440070.874222824","","","","","","","","","","","","","","","","","","",""
"3100000","3100000-114-1996-00233","1996-06-26","","01","영업/정상","01","영업","","","","","02 9370291","548.06","139-822","서울특별시 노원구 상계동 649 12단지 종합상가","서울특별시 노원구 동일로 1538, 12단지 종합상가 17호 (상계동)","01674","(주)농협유통상계점","2023-03-30 15:30:44","U","2022-12-04 00:01:00.0","기타식품판매업","205039.222100248","462624.307076651","","","","","","","","","","","","","","","","","","",""
"3190000","3190000-114-2018-00002","2018-11-13","","03","폐업","02","폐업","2023-04-03","","","","02 8153337","695.60","156-840","서울특별시 동작구 상도동 188-14","서울특별시 동작구 상도로 147, 1층 (상도동)","06950","올리브","2023-04-03 09:09:30","U","2022-12-04 00:05:00.0","기타식품판매업","194250.710026163","444556.425220128","","","","","","","","","","","","","","","","","","",""
"3070000","3070000-114-2023-00002","2023-04-07","","01","영업/정상","01","영업","","","","","023805894","825.39","136-110","서울특별시 성북구 길음동 1286-10 길음뉴타운9단지래미안 상가","서울특별시 성북구 길음로7길 6, 길음뉴타운9단지래미안 상가 제상가동 (길음동)","02721","(주)이마트에브리데이 길음점","2023-04-07 15:56:57","I","2022-12-04 00:09:00.0","기타식품판매업","201912.435615622","455775.861032353","","","","","","","","","","","","","","","","","","",""
"3070000","3070000-114-2009-00003","2009-05-07","","01","영업/정상","01","영업","","","","","02 9210894","359.50","136-060","서울특별시 성북구 돈암동 639 돈암힐스테이트@상가 109호,110호","서울특별시 성북구 아리랑로 68 (돈암동,돈암힐스테이트@상가 109호,110호)","02827","오케이(O.K)식자재 마트","2023-04-06 09:50:39","U","2022-12-04 00:08:00.0","기타식품판매업","201261.184858384","455148.159475028","","","","","","","","","","","","","","","","","","",""
"3140000","3140000-114-2009-00001","2009-04-10","","01","영업/정상","01","영업","","","","","0269231055","3865.00","158-766","서울특별시 양천구 목동 962 목동트라팰리스 웨스턴에비뉴 지하2층","서울특별시 양천구 오목로 299, 지하2층 (목동, 목동트라팰리스 웨스턴에비뉴)","08001","(주)이마트 목동점","2023-04-06 11:00:39","U","2022-12-04 00:08:00.0","기타식품판매업","188472.759197224","447091.855963511","","","","","","","","","","","","","","","","","","",""
"3140000","3140000-114-1999-00502","1999-08-19","","01","영업/정상","01","영업","","","","","0267161234","1145.34","158-822","서울특별시 양천구 신월동 26 지상1층","서울특별시 양천구 화곡로 59, 지상1층 (신월동)","07902","(주)이마트 신월점","2023-04-06 11:09:13","U","2022-12-04 00:08:00.0","기타식품판매업","184796.999053109","448625.389554748","","","","","","","","","","","","","","","","","","",""
"3160000","3160000-114-2013-00001","2013-01-18","","01","영업/정상","01","영업","","","","","02  838 0553","430.00","152-844","서울특별시 구로구 구로동 112-15","서울특별시 구로구 구로중앙로28길 49 (구로동)","08294","영등포농협 하나로마트 구로본점","2023-04-07 17:45:19","U","2022-12-04 00:09:00.0","기타식품판매업","190041.503416461","444219.341572989","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-114-2023-00001","2023-04-14","","01","영업/정상","01","영업","","","","","","612.78","121-849","서울특별시 마포구 성산동 99-1 A동","서울특별시 마포구 모래내로 87, A동 1층 (성산동)","03949","시티식자재마트","2023-04-14 13:39:09","I","2022-12-03 23:06:00.0","기타식품판매업","192207.639914367","451600.397676312","","","","","","","","","","","","","","","","","","",""
"3180000","3180000-114-2023-00001","2023-04-10","","01","영업/정상","01","영업","","","","","0226778877","350.00","150-102","서울특별시 영등포구 양평동2가 37-2","서울특별시 영등포구 영등포로 21, 1층 (양평동2가)","07275","대흥할인마트","2023-04-10 13:35:03","I","2022-12-03 23:02:00.0","기타식품판매업","189682.022243843","446823.857632163","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-114-2006-00001","2006-01-03","","01","영업/정상","01","영업","","","","","0226696000","680.00","157-857","서울특별시 강서구 방화동 829-2 강서농협하나로마트 서관 (지하 1층)","서울특별시 강서구 금낭화로 287-10, 지하 1층 (방화동, 3동 강서농협하나로마트서관)","07510","강서농협 하나로마트(서관)","2023-04-12 18:15:07","U","2022-12-03 23:04:00.0","기타식품판매업","183307.197874057","452726.015586166","","","","","","","","","","","","","","","","","","",""
"3190000","3190000-114-2013-00001","2013-01-15","","03","폐업","02","폐업","2023-04-17","","","","02  822 3061","458.80","156-030","서울특별시 동작구 상도동 532 씨티아모리움","서울특별시 동작구 상도로62길 81-1 (상도동, 씨티아모리움)","07033","우리마트","2023-04-17 16:08:24","U","2022-12-03 23:09:00.0","기타식품판매업","195633.850580998","443912.170028778","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-114-2020-00002","2020-07-02","","03","폐업","02","폐업","2023-03-31","","","","02  31440826","554.88","121-841","서울특별시 마포구 서교동 487 서교동 대우미래사랑","서울특별시 마포구 월드컵북로5나길 18, 1층 113~126,136~137호 (서교동, 서교동 대우미래사랑)","04002","(주)대우농수산마트","2023-03-31 15:07:33","U","2022-12-04 00:02:00.0","기타식품판매업","192577.990805265","450569.670545853","","","","","","","","","","","","","","","","","","",""
"3100000","3100000-114-2023-00001","2023-04-05","","01","영업/정상","01","영업","","","","","","326.00","139-200","서울특별시 노원구 상계동 630 청수빌딩","서울특별시 노원구 동일로228길 35, 청수빌딩 지하1층 101호 (상계동)","01669","세일마트","2023-04-05 09:56:09","I","2022-12-04 00:07:00.0","기타식품판매업","205138.926439441","462840.104436782","","","","","","","","","","","","","","","","","","",""
"3070000","3070000-114-2022-00002","20220517","","01","영업/정상","01","영업","","","","","","655.78","136758","서울특별시 성북구 돈암동 624 돈암현대아파트","서울특별시 성북구 정릉로44길 7, 나동 지하1,2층 (돈암동, 돈암현대아파트)","02806","플러스마트","2022-05-17 14:49:24","I","2021-12-04 23:09:00.0","기타식품판매업","202124.690868117","455479.322312286","","","","","","","","","","","","","","","","","","",""
"3030000","3030000-114-2009-00002","20091222","","03","폐업","02","폐업","20100311","","","","02  22971112","","133070","서울특별시 성동구 행당동 347 대림아파트 리빙프라자(지하101-105호) ","","","하모니마트","2009-12-22 17:05:17","I","2018-08-31 23:59:59.0","기타식품판매업","202326.503044305    ","450625.58422744     ","기타식품판매업","","","","","","","","","","","","","","N","0","","",""
"3040000","3040000-114-2005-00003","20051019","","03","폐업","02","폐업","20051101","","","","","","143825","서울특별시 광진구 구의동 243-2 베스트트레드빌 1층 ","","","럭키할인마트","2005-10-19 00:00:00","I","2018-08-31 23:59:59.0","기타식품판매업","207778.270997698    ","448477.640186052    ","기타식품판매업","0","0","","","","","0","0","0","0","자가","0","0","N","0","","",""
"3040000","3040000-114-2014-00001","20140421","","01","영업/정상","01","영업","","","","","","","143912","서울특별시 광진구 중곡동 638-4 ","서울특별시 광진구 천호대로 525 (중곡동)","04920","그린팜마트(군자점)","2017-08-28 14:18:56","I","2018-08-31 23:59:59.0","기타식품판매업","206730.050438663    ","450701.945993934    ","기타식품판매업","","","","","","","0","0","0","0","","","","N","0","","",""
"3040000","3040000-114-2005-00004","20051215","","01","영업/정상","01","영업","","","","","0234379150","833.50","143867","서울특별시 광진구 자양동 635-8 ","서울특별시 광진구 뚝섬로 639 (자양동)","05060","중앙농협하나로마트","2019-05-15 15:54:07","U","2019-05-17 02:40:00.0","기타식품판매업","207070.446147612    ","447746.148874413    ","기타식품판매업","","","","","상수도전용","","0","0","0","0","자가","","","N","0","","",""
"3050000","3050000-114-1996-00874","19960705","","03","폐업","02","폐업","20051228","","","","0222454239","932.82","130837","서울특별시 동대문구 장안동 217-2 ","","","장안시장(주)장안수퍼","2001-05-22 00:00:00","I","2018-08-31 23:59:59.0","기타식품판매업","","","기타식품판매업","5","7","기타","관리","","","0","0","0","0","","","","N","0","","",""
"3050000","3050000-114-2009-00005","20090921","","03","폐업","02","폐업","20100122","","","","0264567371","858.38","130864","서울특별시 동대문구 제기동 1140-5 불로장생타워 1층(왕산로255) ","","","(주)제이씨마트","2009-11-05 10:27:14","I","2018-08-31 23:59:59.0","기타식품판매업","203155.504921512    ","452914.607542858    ","기타식품판매업","","","","","상수도전용","","0","0","0","0","임대","","","N","0","","",""
"3060000","3060000-114-2006-00002","20060330","","01","영업/정상","01","영업","","","","","0222075507","689.70","131861","서울특별시 중랑구 상봉동 129-9 1층 ","서울특별시 중랑구 망우로32길 23 (상봉동,1층)","02121","동부마트","2022-02-08 08:55:14","U","2022-02-10 02:40:00.0","기타식품판매업","206740.95977172     ","454517.575326381    ","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","",""
"3060000","3060000-114-2000-00500","20000529","","01","영업/정상","01","영업","","","","","02 4901053","9,842.91","131809","서울특별시 중랑구 망우동 506-1 ","서울특별시 중랑구 상봉로 118 (망우동)","02169","(주)이마트","2020-04-24 14:01:22","U","2020-04-26 02:40:00.0","기타식품판매업","208183.558935157    ","454911.24852306     ","기타식품판매업","0","0","기타","기타","","","0","0","0","0","","","","N","0","","",""
"3060000","3060000-114-2001-00596","20010410","","01","영업/정상","01","영업","","","","","0218999900","13,475.33","131858","서울특별시 중랑구 상봉동 81-0 ","서울특별시 중랑구 망우로 336 (상봉동)","02150","(주)코스트코코리아","2016-02-24 15:28:31","I","2018-08-31 23:59:59.0","기타식품판매업","207897.260402153    ","454953.363448013    ","기타식품판매업","11","33","기타","자율","상수도전용","","0","0","0","0","","","","N","0","","",""
"3090000","3090000-114-2018-00004","20180928","","01","영업/정상","01","영업","","","","","02 9557313","531.86","132801","서울특별시 도봉구 도봉동 62-1 104~109,B105호 ","서울특별시 도봉구 도봉로180길 38, 104~109,B105호 (도봉동)","01320","(주)이마트에브리데이도봉점","2021-04-15 15:52:52","U","2021-04-17 02:40:00.0","기타식품판매업","204166.098619898    ","464463.403607965    ","기타식품판매업","","","","","","","","","","","","","","N","0","","",""
"3050000","3050000-114-1999-01070","19991108","","03","폐업","02","폐업","20150624","","","","02 9626746","437.40","130875","서울특별시 동대문구 휘경동 151-3 (휘경로51) ","서울특별시 동대문구 휘경로 53 (휘경동,(휘경로51))","02428","이경마트할인점","2010-12-10 17:10:52","I","2018-08-31 23:59:59.0","기타식품판매업","205761.988407757    ","454700.999035247    ","기타식품판매업","0","0","주택가주변","기타","","","0","0","0","0","","","","N","0","","",""
"3100000","3100000-114-2008-00007","20080825","","01","영업/정상","01","영업","","","","","02 9779339","1,000.00","139863","서울특별시 노원구 중계동 506-1 ","서울특별시 노원구 섬밭로 258 (중계동)","01779","우영마트 식자재","2020-01-23 17:52:30","U","2020-01-25 02:40:00.0","기타식품판매업","205645.891969072    ","459609.012509743    ","기타식품판매업","","","","","","","","","","","","","","N","0","","",""
"3050000","3050000-114-1999-01096","19991217","","03","폐업","02","폐업","20200604","","","","0222437703","357.53","130837","서울특별시 동대문구 장안동 166-1 (장안벌길62-1) ","서울특별시 동대문구 답십리로66길 76 (장안동,(장안벌길62-1))","","부림마트","2020-06-04 15:11:57","U","2020-06-06 02:40:00.0","기타식품판매업","205806.192196499    ","451906.308319234    ","기타식품판매업","0","0","주택가주변","기타","","","0","0","0","0","","","","N","0","","",""
"3050000","3050000-114-2000-01236","20000707","","03","폐업","02","폐업","20051228","","","","0222151526","1,056.00","130883","서울특별시 동대문구 답십리동 86-0 지하1층 ","","","수협바다마트답십리점","2003-02-10 00:00:00","I","2018-08-31 23:59:59.0","기타식품판매업","","","기타식품판매업","0","0","기타","기타","","","0","0","0","0","","","","N","0","","",""
"3100000","3100000-114-2016-00001","20160129","","01","영업/정상","01","영업","","","","","02  976 5000","958.82","139240","서울특별시 노원구 공릉동 711 1층,2층 일부 ","서울특별시 노원구 동일로197길 12 (공릉동, 1층,2층 일부)","01851","(주)엘마트 공릉점","2016-06-21 10:18:46","I","2018-08-31 23:59:59.0","기타식품판매업","206153.65172228     ","458521.183767914    ","기타식품판매업","","","","","","","","","","","자가","","","N","0","","",""
"3050000","3050000-114-2002-00001","20021226","","03","폐업","02","폐업","20050112","","","","","849.00","130842","서울특별시 동대문구 장안동 371-1 삼성쉐르빌(지하1층) ","","","씨씨마트","2002-12-26 00:00:00","I","2018-08-31 23:59:59.0","기타식품판매업","206101.9138443      ","452155.691148899    ","기타식품판매업","","","","","","","0","0","0","0","자가","","","N","0","","",""
"3100000","3100000-114-2002-00002","20020724","","03","폐업","02","폐업","20160517","","","","9737985","322.38","139840","서울특별시 노원구 월계동 13 미성상가 가동 지층13호 ","서울특별시 노원구 마들로 111, 가동 지층 13호 (월계동, 미성상가 )","01909","파워할인마트","2013-12-27 09:08:01","I","2018-08-31 23:59:59.0","기타식품판매업","205705.336876035    ","458028.977530331    ","기타식품판매업","","","","","","","0","0","0","0","","","","N","0","","",""
"3100000","3100000-114-1999-00254","19990429","","03","폐업","02","폐업","20030430","","","","02 9355105","764.22","139861","서울특별시 노원구 중계동 364-17 ","","","(주)영창유통","2001-12-08 00:00:00","I","2018-08-31 23:59:59.0","기타식품판매업","206719.586259379    ","460669.836412326    ","기타식품판매업","","","","","","","0","0","0","0","","","","N","0","","",""
"3050000","3050000-114-2004-00001","20040708","","03","폐업","02","폐업","20061222","","","","0222133500","825.00","130840","서울특별시 동대문구 장안동 335-6 ","","","현대마트(장안점)","2004-07-08 00:00:00","I","2018-08-31 23:59:59.0","기타식품판매업","206484.233644024    ","452169.871290467    ","기타식품판매업","","","","","","","","","","","","","","N","0","","",""
"3050000","3050000-114-2004-00002","20040728","","03","폐업","02","폐업","20211126","","","","0222477879","693.00","130836","서울특별시 동대문구 장안동 108-5 [한천로190] ","서울특별시 동대문구 한천로 190 (장안동,[한천로190])","02525","보배유통(전곡할인마트)","2021-11-26 14:18:50","U","2021-11-28 02:40:00.0","기타식품판매업","205987.345607556    ","452845.284277717    ","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","",""
"3130000","3130000-114-2003-00001","20030509","","03","폐업","02","폐업","20091104","","","","0232751185","406.24","121812","서울특별시 마포구 도화동 82 우성상가 지충 ","","","엄마손할인마트","2004-10-01 00:00:00","I","2018-08-31 23:59:59.0","기타식품판매업","195251.653529577    ","448236.655548283    ","기타식품판매업","","","","","","","0","0","0","0","","","","N","0","","",""
"3140000","3140000-114-1996-00671","19960703","","03","폐업","02","폐업","20050816","","","","0226460412","375.20","158815","서울특별시 양천구 목동 736-3 ","","","진흥마켓","2000-04-07 00:00:00","I","2018-08-31 23:59:59.0","기타식품판매업","188175.450195493    ","448339.835468341    ","기타식품판매업","1","0","주택가주변","기타","상수도전용","","","","","","","","","N","0","","",""
"3140000","3140000-114-1997-00417","19970709","","03","폐업","02","폐업","19990406","","","","02",".00","158864","서울특별시 양천구 신정동 1182-11 상운맘모스빌딩 지하1층 ","","","(주)엘지유통신정점","1999-04-06 00:00:00","I","2018-08-31 23:59:59.0","기타식품판매업","186990.07041522     ","446176.810389121    ","기타식품판매업","0","0","주택가주변","기타","상수도전용","","","","","","","","","N","0","","",""
"3050000","3050000-114-2004-00003","20041102","","03","폐업","02","폐업","20050711","","","","0263700880","1,056.00","130864","서울특별시 동대문구 제기동 892-71 (지하1층) ","","","(주)미도유통","2004-11-02 00:00:00","I","2018-08-31 23:59:59.0","기타식품판매업","203075.098504907    ","452918.836458244    ","기타식품판매업","","","","","","","","","","","","","","N","0","","",""
"3050000","3050000-114-2005-00001","20050202","","03","폐업","02","폐업","20080523","","","","0222156051","980.00","130842","서울특별시 동대문구 장안동 371-1 삼성쉐르빌(지층) ","","","(주)알파마트","2005-02-02 00:00:00","I","2018-08-31 23:59:59.0","기타식품판매업","206101.9138443      ","452155.691148899    ","기타식품판매업","","","","","","","","","","","","","","N","0","","",""
"3140000","3140000-114-2006-00003","20060607","","03","폐업","02","폐업","20130725","","","","0226976977","427.00","158839","서울특별시 양천구 신월동 514-3 해태아파트상가1층 ","","","우리홈마트","2010-04-08 13:47:42","I","2018-08-31 23:59:59.0","기타식품판매업","186056.530963695    ","446627.179128074    ","기타식품판매업","","","","","","","","","","","","","","N","0","","",""
